May the Force be with you | Star Wars
Do or do not. There is no try | Yoda - Star Wars
I am your father | Darth Vader - Star Wars
The Force will be with you, always | Obi-Wan Kenobi - Star Wars
You were the chosen one! | Obi-Wan Kenobi - Star Wars
This is the way | Din Djarin - The Mandalorian
I've got a bad feeling about this | Han Solo - Star Wars
The dark side of the Force is a pathway to many abilities | Palpatine - Star Wars
Help me, Obi-Wan Kenobi. You're my only hope | Leia Organa - Star Wars
There is no escape. Don't make me destroy you | Vader - Star Wars
There are things in this world that defy explanation | Fringe
Parallel universes are real | Fringe
The Observer is watching | The Observers - Fringe
From one universe to another | Fringe
Destiny is not written | Peter Bishop - Fringe
The other side is always there | Fringe
What if everything you know is wrong? | Fringe
There's more to this world than what you can see | Fringe
The laws of nature don't apply here anymore | Fringe
We're running out of time | Fringe
Something's not right with the timeline | Fringe
I need a cup of coffee and some clarity | Walter Bishop - Fringe
The patterns are getting stronger | Walter Bishop - Fringe
Something evil this way comes | Fringe
They're watching us from another dimension | Fringe
Reality is far stranger than fiction | Fringe
Do you believe in parallel universes? | Walter Bishop - Fringe
The truth is out there, and it's terrifying | Fringe
Astrid, my dear, would you get me some food? My mind works better on a full stomach | Walter Bishop - Fringe
These pretzels are making me thirsty | Walter Bishop - Fringe
I've seen things... extraordinary things | Walter Bishop - Fringe
The human brain is capable of remarkable things | Walter Bishop - Fringe
Science is the language of the universe | Walter Bishop - Fringe
My hypothesis is quite simple, really | Walter Bishop - Fringe
You see, the molecular structure suggests... | Walter Bishop - Fringe
I may have invented something rather dangerous | Walter Bishop - Fringe
That's excellent news! Or terrible news, depending on perspective | Walter Bishop - Fringe
The multiverse is far more complex than we imagined | Fringe
Everything is connected, you just have to see the pattern | Fringe
I've dedicated my life to understanding the impossible | Fringe
A man is not defined by his worst moment | Peter Bishop - Fringe
Second chances are precious things | Fringe
Roll for initiative! | D&D/RPG
Critical hit! | D&D/RPG
Natural 20! | D&D/RPG
The dice have spoken | D&D/RPG
Your adventure awaits | D&D/RPG
